Sampling sites,WT,DO,Scon,Con,pH,NH4+-N
s1,28.2,7.52,63.5,67.4,7.63,0.26
s2,28,7.23,63.2,66.9,7.71,0.18
s3,28.1,7.59,63.2,66.9,7.86,0.22
s4,28.1,7.47,63.2,67,7.62,0.28
s5,28.2,7.58,63.4,67.3,7.72,0.22
s6,28.2,7.52,63.5,67.4,7.63,0.26
s7,28,7.23,63.2,66.9,7.71,0.18
s8,28,7.35,63.1,66.7,7.64,0.2
s9,28,7.33,63,66.6,7.66,0.19
s10,28.1,7.44,63.1,66.8,7.58,0.22
s11,28,6.87,63.1,66.8,7.67,0.18
s12,28,7.64,63,66.6,7.59,0.24
s13,29.2,8.58,67.7,73.2,7.75,0.26
s14,29.2,8.14,67.7,73.2,7.69,0.26
s15,29.3,8.96,67.8,73.4,7.75,0.3
s16,29.3,8.09,67.9,73.4,7.63,0.3
s17,29.2,7.83,70.9,76.6,7.54,0.35
s18,29.2,7.73,68,73.5,7346,0.37
s19,29.3,7.85,67.9,73.4,7.5,0.42
s20,29.9,7.24,64.7,70.8,7.81,0.22
s21,29.9,7.54,65.6,71.7,7.65,0.26
s22,28.8,8.16,66,70.7,7.99,0.28
s23,25.8,7.25,85.4,86.6,7.48,0.21
s24,25.5,6.73,85.3,86.1,7.48,0.21
s25,25.9,6.67,85.4,86.9,7.59,0.18
s26,26.1,6.55,87.3,89.2,7.5,0.2
s27,26.2,7.86,86.9,88.9,7.88,0.14
s28,26.4,7.26,86.9,89.3,7.87,0.14
s29,27.1,8.92,89.5,93.1,7.83,0.2
s30,27,7.64,88.6,92,7.82,0.21
s31,27.4,8.16,88.7,92.2,7.78,0.14
s32,26.8,7.96,88.12,91.1,7.84,0.17
s33,28.2,7.98,109.4,116,7.55,0.29
s34,28.2,7.8,109.2,115.9,7.52,0.29
s35,28.2,7.79,109.8,116.6,7.56,0.29
s36,28.2,7.7,109.6,116.3,7.56,0.3
s37,28,7.97,107.6,113.7,7.58,0.26
s38,28,7.81,107.6,113.7,7.55,0.27
s39,28,7.44,108.2,114.3,7.49,0.27
s40,24.7,7.38,91.2,90.6,7.88,0.16
s41,24.7,7.29,91.4,90.9,7.78,0.19
s42,24.7,7.13,91.2,90.6,7.73,0.17
s43,24.7,7.03,91,90.5,7.65,0.17
s44,24.7,6.93,91.6,91.1,7.62,0.16
