Species,BS,MP,COC,TIP,TL,AL
A1,3.75,3,0.35,0.8,3.2,2.5
A2,3.25,3,0.4,0.6,2.8,1.5
A3,3.25,3,0.36,0.7,2.9,1.75
A4,4.75,2,0.25,0.9,2,3.5
A5,3.75,2,0.43,0.65,2.35,2
A6,3.75,2,0.43,0.7,2.35,2.25
A7,3.25,2,0.45,0.55,2.15,2.75
A8,3.25,2,0.45,0.75,2.75,2.5
A9,2.75,3,0.35,0.8,2.55,2
A11,2.25,3,0.36,0.7,3.75,2
A12,3.25,3,0.55,0.55,2.75,2.2
A13,3.75,2,0.16,0.9,3.75,3.5
A14,3.75,2,0.14,0.9,3.75,3.5
A15,3.75,1,0.45,0.6,2.2,1.2
A16,4.75,1,0.4,0.6,2,1
A17,3.75,3,0.45,0.5,2.75,1.2
A19,3.25,3,0.2,0.8,3.75,2.25
A20,3.25,3,0.45,0.55,2.3,1.5
A21,3.75,1,0.6,0.6,3.5,1
A22,4.75,1,0.55,0.65,3.75,0.8
A23,5.5,1,0.5,0.55,3,0.8
A26,2.75,3,0.35,0.7,3.75,1.5
A27,3.75,2,0.6,0.6,2.5,2
A28,3.25,2,0.4,0.8,3.5,3.5
A29,3.25,1,0.16,0.8,2.75,0.5
A30,4.5,3,0.55,0.55,2.25,0.75
A31,3.9,1.5,0.35,0.55,2.75,2
A32,3.25,2,0.7,0.8,2.5,3.5
A33,3.25,2,0.45,0.75,2.75,2
A34,2.8,3,0.45,0.65,3.25,2.25
A35,3.25,2,0.35,0.7,3.5,3.5
A36,3.25,2,0.45,0.65,2.25,3.5
A37,2.3,1.5,0.5,0.7,2.5,2
A38,3.25,3,0.5,0.5,2.5,2
A39,2.75,2,0.6,0.6,2,3.5
