Species,BS,MP,COC,TIP,TL,AL
1,3.75,3,0.35,0.8,3.2,2.5
2,3.25,3,0.4,0.6,2.8,1.5
3,3.25,3,0.36,0.7,2.9,1.75
4,4.75,2,0.25,0.9,2,3.5
5,3.75,2,0.43,0.65,2.35,2
6,3.75,2,0.43,0.7,2.35,2.25
7,3.25,2,0.45,0.55,2.15,2.75
8,3.25,2,0.45,0.75,2.75,2.5
9,2.75,3,0.35,0.8,2.55,2
12,3.25,3,0.55,0.55,2.75,2.2
15,3.75,1,0.45,0.6,2.2,1.2
16,4.75,1,0.4,0.6,2,1
17,3.75,3,0.45,0.5,2.75,1.2
19,3.25,3,0.2,0.8,3.75,2.25
21,3.75,1,0.6,0.6,3.5,1
23,5.5,1,0.5,0.55,3,0.8
29,3.25,1,0.16,0.8,2.75,0.5
30,4.5,3,0.55,0.55,2.25,0.75
35,3.25,2,0.35,0.7,3.5,3.5
36,3.25,2,0.45,0.65,2.25,3.5
37,2.3,1.5,0.5,0.7,2.5,2
38,3.25,3,0.5,0.5,2.5,2
39,2.75,2,0.6,0.6,2,3.5
